Time,Transporter,Origin,Destination,TOF
939960,T5,GeoSSP,LeoDepot,14980.974813236386
976620,T5,LeoDepot,ISS,2759.5396851827036
979500,T5,ISS,LeoDepot,2759.539685182703
982440,T5,LeoDepot,ISS,2759.539685182703
985320,T5,ISS,LeoDepot,2759.539685182704
1059360,T5,LeoDepot,DSG,430296.40256860707
1106100,T1,LeoDepot,GeoSSP,14980.974813236378
1121220,T1,GeoSSP,LeoDepot,14980.97481323639
1224960,T1,LeoDepot,ISS,2759.5396851827036
1227000,T4,DSG,LeoDepot,430296.402568607
1227840,T1,ISS,LeoDepot,2759.539685182703
1230780,T1,LeoDepot,ISS,2759.539685182703
1233660,T1,ISS,LeoDepot,2759.539685182703
1236600,T1,LeoDepot,ISS,2759.539685182703
1239480,T1,ISS,LeoDepot,2759.5396851827036
1243140,T1,LeoDepot,GeoSSP,14980.974813236386
1258260,T1,GeoSSP,LeoDepot,14980.97481323639
1325400,T1,LeoDepot,DSG,430296.4025686069
1409940,T6,LeoDepot,GeoSSP,14980.974813236378
1425060,T6,GeoSSP,LeoDepot,14980.974813236375
1473300,T6,LeoDepot,ISS,2759.539685182703
1476180,T6,ISS,LeoDepot,2759.5396851827036
1479120,T6,LeoDepot,ISS,2759.539685182703
1482000,T6,ISS,LeoDepot,2759.5396851827036
1489800,T5,DSG,LeoDepot,430296.40256860683
1496100,T6,LeoDepot,ISS,2759.539685182703
1498980,T6,ISS,LeoDepot,2759.5396851827036
1502460,T6,LeoDepot,DSG,430296.4025686069
1657500,T4,LeoDepot,GeoSSP,14980.974813236386
1672620,T4,GeoSSP,LeoDepot,14980.974813236378
1721640,T4,LeoDepot,ISS,2759.5396851827036
1724520,T4,ISS,LeoDepot,2759.5396851827036
1727460,T4,LeoDepot,ISS,2759.539685182703
1730340,T4,ISS,LeoDepot,2759.539685182703
1757640,T1,DSG,LeoDepot,430296.4025686067
1768500,T4,LeoDepot,DSG,430296.40256860666
1922220,T5,LeoDepot,GeoSSP,14980.97481323638
1932900,T6,DSG,LeoDepot,430296.4025686067
1937340,T5,GeoSSP,LeoDepot,14980.974813236378
1969980,T5,LeoDepot,ISS,2759.539685182703
1972860,T5,ISS,LeoDepot,2759.539685182703
1975800,T5,LeoDepot,ISS,2759.539685182703
1978680,T5,ISS,LeoDepot,2759.539685182704
1981620,T5,LeoDepot,ISS,2759.539685182703
1984500,T5,ISS,LeoDepot,2759.5396851827036
1987440,T5,LeoDepot,DSG,430296.40256860666
2188140,T1,LeoDepot,GeoSSP,14980.974813236378
2200740,T4,DSG,LeoDepot,430296.4025686067
2205180,T1,GeoSSP,LeoDepot,14980.974813236378
2220360,T1,LeoDepot,ISS,2759.5396851827036
2223240,T1,ISS,LeoDepot,2759.539685182703
2226180,T1,LeoDepot,ISS,2759.539685182703
2229060,T1,ISS,LeoDepot,2759.539685182703
2241120,T1,LeoDepot,ISS,2759.539685182703
2244000,T1,ISS,LeoDepot,2759.539685182703
2246940,T1,LeoDepot,DSG,430296.40256860683
2363400,T6,LeoDepot,GeoSSP,14980.974813236386
2378520,T6,GeoSSP,LeoDepot,14980.97481323638
2419560,T5,DSG,LeoDepot,430296.4025686067
2466660,T6,LeoDepot,ISS,2759.5396851827036
2469540,T6,ISS,LeoDepot,2759.5396851827036
2472480,T6,LeoDepot,ISS,2759.539685182703
2475360,T6,ISS,LeoDepot,2759.539685182704
2512500,T6,LeoDepot,DSG,430296.4025686069
