Time,Transporter,Origin,Destination,TOF
120,T1,LeoDepot,ISS,2759.539685182703
1380,T2,LeoDepot,GeoSSP,14980.97481323638
1440,T4,LeoDepot,GeoSSP,14980.974813236378
1560,T3,LeoDepot,DSG,430296.4025686069
3000,T1,ISS,LeoDepot,2759.5396851827036
16560,T4,GeoSSP,LeoDepot,14980.974813236386
28920,T5,LeoDepot,DSG,430296.40256860683
164940,T1,LeoDepot,GeoSSP,14980.974813236378
180060,T1,GeoSSP,LeoDepot,14980.974813236375
231600,T1,LeoDepot,ISS,2759.539685182703
231660,T4,LeoDepot,ISS,2759.539685182703
234480,T1,ISS,LeoDepot,2759.539685182703
234540,T4,ISS,LeoDepot,2759.5396851827036
237420,T1,LeoDepot,ISS,2759.539685182703
240300,T1,ISS,LeoDepot,2759.539685182703
244260,T1,LeoDepot,DSG,430296.402568607
328980,T4,LeoDepot,GeoSSP,14980.974813236386
344100,T4,GeoSSP,LeoDepot,14980.97481323639
461100,T5,DSG,LeoDepot,430296.4025686069
479940,T4,LeoDepot,ISS,2759.539685182703
480000,T6,LeoDepot,ISS,2759.539685182703
482820,T4,ISS,LeoDepot,2759.5396851827036
482880,T6,ISS,LeoDepot,2759.539685182703
492600,T4,LeoDepot,GeoSSP,14980.974813236378
497460,T6,LeoDepot,ISS,2759.539685182703
500340,T6,ISS,LeoDepot,2759.539685182703
504840,T6,LeoDepot,DSG,430296.40256860707
507720,T4,GeoSSP,LeoDepot,14980.974813236378
665340,T4,LeoDepot,GeoSSP,14980.97481323639
674700,T1,DSG,LeoDepot,430296.40256860707
680460,T4,GeoSSP,LeoDepot,14980.974813236386
728280,T4,LeoDepot,ISS,2759.5396851827036
731160,T4,ISS,LeoDepot,2759.539685182703
734100,T4,LeoDepot,ISS,2759.5396851827036
736980,T4,ISS,LeoDepot,2759.539685182703
756960,T4,LeoDepot,ISS,2759.539685182704
759840,T4,ISS,LeoDepot,2759.539685182703
763860,T4,LeoDepot,GeoSSP,14980.974813236378
778980,T4,GeoSSP,LeoDepot,14980.97481323638
794760,T4,LeoDepot,DSG,430296.40256860707
924840,T5,LeoDepot,GeoSSP,14980.97481323639
937080,T6,DSG,LeoDepot,430296.40256860707
