Time,Transporter,Node,TT,In_Network,Quantity,Price,Value
120,T1,LeoDepot,s,0,-60.0,1.4175000000000002,85.05000000000001
180,T4,LeoDepot,s,0,-50.0,1.445950134335289,72.29750671676445
240,T5,LeoDepot,s,0,-60.0,1.4702934305890818,88.21760583534491
600,T2,LeoDepot,s,0,-80.0,1.4986875203494685,119.89500162795748
660,T6,LeoDepot,s,0,-80.0,1.5407030930637426,123.2562474450994
1380,T3,LeoDepot,s,0,-90.0,1.5806112411282536,142.25501170154283
2940,T1,ISS,b,0,72.5,2.7401940887345693,198.66407143325628
3000,T4,LEO1,b,1,72.5,1.563075,113.3229375
3060,T5,LEO1,b,0,72.5,1.563075,113.3229375
4140,T2,LEO2b,b,0,72.5,1.95384375,141.65367187500001
4200,T6,LEO2b,b,0,72.5,1.95384375,141.65367187500001
7020,T1,LeoDepot,s,0,-73.25898100726323,1.5948591538030295,116.83775645771604
7440,T4,LeoDepot,s,0,-72.88160271585909,1.6357321822026036,119.21478305283539
7500,T5,LeoDepot,s,0,-72.88160271585909,1.681525313267329,122.55225983820996
16440,T3,GeoSSP,b,0,72.5,4.301994013888881,311.8945660069439
19920,T4,MEO1a,b,0,72.5,2.73538125,198.315140625
19980,T5,MEO1a,b,0,72.5,2.73538125,198.315140625
37980,T2,LeoDepot,s,0,-86.53247376493664,1.5177036898131386,131.33065472170296
43440,T6,LeoDepot,s,0,-86.53247376493663,1.5301302732130366,132.4059577237424
50460,T2,MEO1a,b,1,55.0,3.0665250000000004,168.65887500000002
58500,T6,GeoSSP,b,0,35.031249999997044,4.843375781250057,169.66950783690174
66240,T2,LEO2b,s,0,-97.39894032286585,1.5578614942099778,151.73405870584824
69840,T2,ISS,b,0,63.45833333333951,2.837383999999978,180.0556596666828
73920,T6,LEO1,s,0,-84.78746427567903,1.2462891953679822,105.66970062942755
258000,T2,MEO1a,s,1,-93.76104571925109,1.8900000000000001,177.20837640938456
287220,T2,GeoSSP,b,0,37.24999999996612,4.795480888889277,178.6316631109631
302940,T2,LeoDepot,s,0,-63.996049681977794,1.4175000000000002,90.71440042420353
306480,T2,LEO2b,b,0,72.5,1.9089879132357914,138.40162370959487
312540,T2,LeoDepot,s,0,-86.53247376493664,1.4175000000000002,122.6597815617977
325020,T2,MEO1a,b,1,72.5,2.8620210235400085,207.4965242066506
437400,T1,DSG,b,0,72.5,5.150096529706741,373.38199840373875
504360,T6,DSG,b,0,23.911458333336242,5.559716736111046,132.94093508067144
508260,T3,MEO1a,s,0,-99.24604968201167,2.056796247892274,204.12890260409182
537480,T3,GeoSSP,b,0,43.44791666662715,4.734169031250428,205.68978155549556
553440,T3,LeoDepot,s,0,-70.19396634863882,1.4175000000000002,99.49994729919555
565920,T3,MEO1a,b,0,72.5,2.7577015595124226,199.93336306465065
935400,T6,LeoDepot,s,0,-76.2371090416187,1.4175000000000002,108.06610206649451
947880,T6,MEO1a,b,0,48.007095401262745,3.110138704015578,149.3087254748355
969060,T6,LEO2b,s,0,-90.40603572412857,1.6301979830077868,147.37973708920433
1403220,T6,DSG,b,0,72.5,5.08515188271619,368.67351149692377
