Time,Transporter,Origin,Destination,TOF
120,T1,LeoDepot,ISS,2759.539685182703
180,T4,LeoDepot,LEO1,2744.2231131416033
600,T2,LeoDepot,LEO2b,3460.871463508925
1380,T3,LeoDepot,GeoSSP,14980.97481323638
3000,T1,ISS,LeoDepot,2759.5396851827036
3060,T4,LEO1,LeoDepot,2744.2231131416033
5940,T1,LeoDepot,LEO1,2744.2231131416033
7020,T4,LeoDepot,DSG,430296.4025686069
8820,T1,LEO1,LeoDepot,2744.223113141604
12360,T2,LEO2b,LeoDepot,3460.871463508929
13020,T1,LeoDepot,LEO2b,3460.8714635089286
16500,T2,LeoDepot,MEO1a,12369.01418868719
16620,T1,LEO2b,LeoDepot,3460.871463508925
20280,T1,LeoDepot,MEO1a,12369.01418868719
218940,T3,GeoSSP,MEO1a,29154.528777451793
248280,T3,MEO1a,GeoSSP,29154.528777451775
277560,T3,GeoSSP,LEO2b,16237.344542257364
294000,T3,LEO2b,ISS,3493.989711162906
468660,T3,ISS,LEO1,2774.884647839965
471660,T3,LEO1,ISS,2774.884647839965
479880,T3,ISS,LeoDepot,2759.539685182703
482820,T3,LeoDepot,ISS,2759.539685182703
485700,T3,ISS,LeoDepot,2759.539685182703
488640,T3,LeoDepot,DSG,430296.40256860707
