Time,state,curr_node,dest_node,remaining_TOF,resources,capacity,Buy_price,Sell_price
0,0,LeoDepot,None,-1,20.0,100,1.5,1.5
60,0,LeoDepot,None,-1,20.0,100,1.5,1.5
120,0,LeoDepot,None,-1,20.0,100,1.5,1.5
180,0,LeoDepot,None,-1,20.0,100,1.5,1.5
240,0,LeoDepot,None,-1,20.0,100,1.5,1.5
300,0,LeoDepot,None,-1,20.0,100,1.5,1.5
360,0,LeoDepot,None,-1,20.0,100,1.5,1.5
420,0,LeoDepot,None,-1,20.0,100,1.5,1.5
480,0,LeoDepot,None,-1,20.0,100,1.5,1.5
540,0,LeoDepot,None,-1,20.0,100,1.5,1.5
600,0,LeoDepot,None,-1,20.0,100,1.5,1.5
660,0,LeoDepot,None,-1,20.0,100,1.5,1.5
720,0,LeoDepot,None,-1,20.0,100,1.5,1.5
780,0,LeoDepot,None,-1,20.0,100,1.5,1.5
840,0,LeoDepot,None,-1,20.0,100,1.5,1.5
900,0,LeoDepot,None,-1,20.0,100,1.5,1.5
960,0,LeoDepot,None,-1,20.0,100,1.5,1.5
1020,0,LeoDepot,None,-1,20.0,100,1.5,1.5
1080,0,LeoDepot,None,-1,20.0,100,1.5,1.5
1140,0,LeoDepot,None,-1,20.0,100,1.5,1.5
1200,0,LeoDepot,None,-1,20.0,100,1.5,1.5
1260,0,LeoDepot,None,-1,20.0,100,1.5,1.5
1320,1,LeoDepot,GeoSSP,14980.97481323638,20.0,100,1.5,1.5
1380,2,None,GeoSSP,14980.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
1440,2,None,GeoSSP,14920.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
1500,2,None,GeoSSP,14860.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
1560,2,None,GeoSSP,14800.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
1620,2,None,GeoSSP,14740.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
1680,2,None,GeoSSP,14680.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
1740,2,None,GeoSSP,14620.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
1800,2,None,GeoSSP,14560.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
1860,2,None,GeoSSP,14500.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
1920,2,None,GeoSSP,14440.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
1980,2,None,GeoSSP,14380.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2040,2,None,GeoSSP,14320.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2100,2,None,GeoSSP,14260.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2160,2,None,GeoSSP,14200.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2220,2,None,GeoSSP,14140.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2280,2,None,GeoSSP,14080.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2340,2,None,GeoSSP,14020.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2400,2,None,GeoSSP,13960.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2460,2,None,GeoSSP,13900.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2520,2,None,GeoSSP,13840.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2580,2,None,GeoSSP,13780.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2640,2,None,GeoSSP,13720.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2700,2,None,GeoSSP,13660.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2760,2,None,GeoSSP,13600.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2820,2,None,GeoSSP,13540.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2880,2,None,GeoSSP,13480.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
2940,2,None,GeoSSP,13420.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3000,2,None,GeoSSP,13360.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3060,2,None,GeoSSP,13300.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3120,2,None,GeoSSP,13240.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3180,2,None,GeoSSP,13180.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3240,2,None,GeoSSP,13120.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3300,2,None,GeoSSP,13060.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3360,2,None,GeoSSP,13000.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3420,2,None,GeoSSP,12940.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3480,2,None,GeoSSP,12880.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3540,2,None,GeoSSP,12820.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3600,2,None,GeoSSP,12760.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3660,2,None,GeoSSP,12700.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3720,2,None,GeoSSP,12640.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3780,2,None,GeoSSP,12580.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3840,2,None,GeoSSP,12520.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3900,2,None,GeoSSP,12460.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
3960,2,None,GeoSSP,12400.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4020,2,None,GeoSSP,12340.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4080,2,None,GeoSSP,12280.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4140,2,None,GeoSSP,12220.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4200,2,None,GeoSSP,12160.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4260,2,None,GeoSSP,12100.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4320,2,None,GeoSSP,12040.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4380,2,None,GeoSSP,11980.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4440,2,None,GeoSSP,11920.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4500,2,None,GeoSSP,11860.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4560,2,None,GeoSSP,11800.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4620,2,None,GeoSSP,11740.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4680,2,None,GeoSSP,11680.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4740,2,None,GeoSSP,11620.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4800,2,None,GeoSSP,11560.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4860,2,None,GeoSSP,11500.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4920,2,None,GeoSSP,11440.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
4980,2,None,GeoSSP,11380.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5040,2,None,GeoSSP,11320.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5100,2,None,GeoSSP,11260.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5160,2,None,GeoSSP,11200.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5220,2,None,GeoSSP,11140.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5280,2,None,GeoSSP,11080.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5340,2,None,GeoSSP,11020.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5400,2,None,GeoSSP,10960.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5460,2,None,GeoSSP,10900.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5520,2,None,GeoSSP,10840.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5580,2,None,GeoSSP,10780.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5640,2,None,GeoSSP,10720.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5700,2,None,GeoSSP,10660.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5760,2,None,GeoSSP,10600.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5820,2,None,GeoSSP,10540.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5880,2,None,GeoSSP,10480.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
5940,2,None,GeoSSP,10420.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6000,2,None,GeoSSP,10360.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6060,2,None,GeoSSP,10300.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6120,2,None,GeoSSP,10240.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6180,2,None,GeoSSP,10180.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6240,2,None,GeoSSP,10120.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6300,2,None,GeoSSP,10060.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6360,2,None,GeoSSP,10000.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6420,2,None,GeoSSP,9940.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6480,2,None,GeoSSP,9880.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6540,2,None,GeoSSP,9820.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6600,2,None,GeoSSP,9760.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6660,2,None,GeoSSP,9700.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6720,2,None,GeoSSP,9640.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6780,2,None,GeoSSP,9580.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6840,2,None,GeoSSP,9520.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6900,2,None,GeoSSP,9460.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
6960,2,None,GeoSSP,9400.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
7020,2,None,GeoSSP,9340.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
7080,2,None,GeoSSP,9280.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
7140,2,None,GeoSSP,9220.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
7200,2,None,GeoSSP,9160.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
7260,2,None,GeoSSP,9100.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
7320,2,None,GeoSSP,9040.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
7380,2,None,GeoSSP,8980.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
7440,2,None,GeoSSP,8920.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
7500,2,None,GeoSSP,8860.97481323638,75.05389488415412,100,1.4952268139889104,1.4952268139889104
