Time,Transporter,Node,TT,In_Network,Quantity,Price,Value
120,T1,LeoDepot,s,0,-60.0,1.4175000000000002,85.05000000000001
180,T4,LeoDepot,s,0,-50.0,1.445950134335289,72.29750671676445
240,T5,LeoDepot,s,0,-60.0,1.4702934305890818,88.21760583534491
600,T2,LeoDepot,s,0,-80.0,1.4986875203494685,119.89500162795748
660,T6,LeoDepot,s,0,-80.0,1.5407030930637426,123.2562474450994
1380,T3,LeoDepot,s,0,-90.0,1.5806112411282536,142.25501170154283
2940,T1,ISS,b,0,72.5,2.7401940887345693,198.66407143325628
3000,T4,LEO1,b,1,72.5,1.563075,113.3229375
3060,T5,LEO1,b,0,72.5,1.563075,113.3229375
4140,T2,LEO2a,b,1,72.5,1.95384375,141.65367187500001
4200,T6,LEO2a,b,0,72.5,1.95384375,141.65367187500001
7020,T1,LeoDepot,s,0,-73.25898100726323,1.5948591538030295,116.83775645771604
7440,T4,LeoDepot,s,0,-72.88160271585909,1.6357321822026036,119.21478305283539
7500,T5,LeoDepot,s,0,-72.88160271585909,1.681525313267329,122.55225983820996
16440,T3,GeoSSP,b,0,72.5,4.301994013888881,311.8945660069439
19680,T2,LeoDepot,s,0,-86.53247376493661,1.6382533918233846,141.76211864827545
19740,T6,LeoDepot,s,0,-86.53247376493661,1.6932633876412624,146.52226966819524
19920,T4,MEO1a,b,0,72.5,2.73538125,198.315140625
19980,T5,MEO1a,b,0,72.5,2.73538125,198.315140625
32160,T2,MEO1b,b,0,72.5,2.605125,188.8715625
32220,T6,MEO1b,b,0,72.5,2.605125,188.8715625
221820,T2,MEO1a,s,1,-96.44394691328155,2.077148658946637,200.32841499444342
222000,T4,MEO1b,s,1,-96.44394691328156,1.978236818044416,190.7889666613747
222060,T5,MEO1b,s,0,-48.556053086718435,2.5291635083193236,122.80619757494412
226440,T6,MEO1a,s,0,-48.55605308671845,2.0059878547565857,97.40285276687324
247920,T4,MEO1a,b,0,72.5,2.73538125,198.315140625
247980,T5,MEO1a,b,0,72.5,2.73538125,198.315140625
251040,T2,GeoSSP,b,0,65.99999999996888,4.531824222222517,299.1003986665451
266460,T4,LEO2a,s,0,-90.95499340958432,1.5578614942099778,141.6952819389137
280080,T4,MEO1b,b,1,72.5,2.5,181.25
280500,T2,MEO1a,s,1,-69.59988913230046,2.077148658946637,144.5693163739925
306420,T2,MEO1b,b,0,72.5,2.605125,188.8715625
437400,T1,DSG,b,0,72.5,5.249069770447518,380.55755835744503
503460,T4,MEO1a,s,0,-75.40011086769954,2.4951730933455742,188.1363278723571
532680,T4,GeoSSP,b,0,48.89583333328886,4.682306680556015,228.9452870678119
550500,T4,LeoDepot,s,0,-91.19676555718527,1.4175000000000002,129.27141517731013
562980,T4,MEO1a,b,0,72.5,2.625,190.3125
589140,T4,MEO1b,s,1,-96.44394691328155,1.978236818044416,190.78896666137467
615060,T4,MEO1a,b,0,72.5,2.73538125,198.315140625
641280,T2,MEO1a,s,1,-72.5,2.077148658946637,150.59327777363117
667200,T2,MEO1b,b,0,72.5,2.5471538058272043,184.66865092247232
693240,T4,MEO1b,s,1,-72.5,2.0664028801327774,149.81420880962636
695820,T6,DSG,b,0,37.15104166667561,5.369654029706892,199.48824059327333
719160,T4,MEO1a,b,0,72.5,2.73538125,198.315140625
720960,T3,MEO1a,s,0,-99.24604968201167,2.181006091893969,216.45623895287895
745260,T2,MEO1a,s,1,-45.75395031798833,2.547343499475703,116.55102791786184
774480,T2,GeoSSP,b,0,41.97916666662849,4.748476125000419,199.3370706638988
791400,T2,LeoDepot,s,0,-95.47126603065185,1.4175000000000002,135.330519598449
803880,T2,MEO1a,b,1,72.5,2.625,190.3125
1190340,T3,DSG,b,0,42.92708333331247,5.312798526235114,228.0629450687944
1620960,T3,LeoDepot,s,0,-82.13670588477473,1.4175000000000002,116.42878059166819
2051340,T3,DSG,b,0,72.5,5.084691118827479,368.6401061149922
