Time,state,curr_node,dest_node,remaining_TOF,resources,capacity,Buy_price,Sell_price
0,0,LeoDepot,None,-1,10.0,100,1.5,1.5
60,0,LeoDepot,None,-1,10.0,100,1.5,1.5
120,0,LeoDepot,None,-1,10.0,100,1.5,1.5
180,0,LeoDepot,None,-1,10.0,100,1.5,1.5
240,0,LeoDepot,None,-1,10.0,100,1.5,1.5
300,0,LeoDepot,None,-1,10.0,100,1.5,1.5
360,0,LeoDepot,None,-1,10.0,100,1.5,1.5
420,0,LeoDepot,None,-1,10.0,100,1.5,1.5
480,0,LeoDepot,None,-1,10.0,100,1.5,1.5
540,0,LeoDepot,None,-1,10.0,100,1.5,1.5
600,0,LeoDepot,None,-1,10.0,100,1.5,1.5
660,0,LeoDepot,None,-1,10.0,100,1.5,1.5
720,0,LeoDepot,None,-1,10.0,100,1.5,1.5
780,0,LeoDepot,None,-1,10.0,100,1.5,1.5
840,0,LeoDepot,None,-1,10.0,100,1.5,1.5
900,0,LeoDepot,None,-1,10.0,100,1.5,1.5
960,0,LeoDepot,None,-1,10.0,100,1.5,1.5
1020,0,LeoDepot,None,-1,10.0,100,1.5,1.5
1080,0,LeoDepot,None,-1,10.0,100,1.5,1.5
1140,0,LeoDepot,None,-1,10.0,100,1.5,1.5
1200,0,LeoDepot,None,-1,10.0,100,1.5,1.5
1260,0,LeoDepot,None,-1,10.0,100,1.5,1.5
1320,0,LeoDepot,None,-1,10.0,100,1.5,1.5
1380,0,LeoDepot,None,-1,10.0,100,1.5,1.5
1440,0,LeoDepot,None,-1,10.0,100,1.5,1.5
1500,1,LeoDepot,DSG,430296.4025686069,10.0,100,1.5,1.5
1560,2,None,DSG,430296.4025686069,73.79422371285499,100,1.502965097780902,1.502965097780902
1620,2,None,DSG,430236.4025686069,73.79422371285499,100,1.502965097780902,1.502965097780902
1680,2,None,DSG,430176.4025686069,73.79422371285499,100,1.502965097780902,1.502965097780902
1740,2,None,DSG,430116.4025686069,73.79422371285499,100,1.502965097780902,1.502965097780902
1800,2,None,DSG,430056.4025686069,73.79422371285499,100,1.502965097780902,1.502965097780902
1860,2,None,DSG,429996.4025686069,73.79422371285499,100,1.502965097780902,1.502965097780902
1920,2,None,DSG,429936.4025686069,73.79422371285499,100,1.502965097780902,1.502965097780902
1980,2,None,DSG,429876.4025686069,73.79422371285499,100,1.502965097780902,1.502965097780902
2040,2,None,DSG,429816.4025686069,73.79422371285499,100,1.502965097780902,1.502965097780902
2100,2,None,DSG,429756.4025686069,73.79422371285499,100,1.502965097780902,1.502965097780902
2160,2,None,DSG,429696.4025686069,73.79422371285499,100,1.502965097780902,1.502965097780902
