Time,Transporter,Node,TT,In_Network,Quantity,Price,Value
120,T1,LeoDepot,s,0,-60.0,1.4175000000000002,85.05000000000001
1380,T2,LeoDepot,s,0,-80.0,1.4392087235059567,115.13669788047653
1440,T4,LeoDepot,s,0,-50.0,1.4783931413567701,73.9196570678385
1560,T3,LeoDepot,s,0,-90.0,1.503294553089891,135.29650977809018
2940,T1,ISS,b,0,72.5,2.7401940887345693,198.66407143325628
16440,T2,GeoSSP,b,0,72.5,4.499083753472212,326.1835721267354
16500,T4,GeoSSP,b,0,27.739583333333428,4.920837586805542,136.5019843089917
63720,T1,LeoDepot,s,0,-73.25898100726323,1.4175000000000002,103.84460557779565
174120,T4,LeoDepot,s,0,-77.63179356502519,1.4175000000000002,110.04306737842323
189180,T4,GeoSSP,b,0,29.979166666642982,4.896683680555835,146.79849617321418
231600,T4,LeoDepot,s,0,-79.87137689833474,1.4175000000000002,113.21767675338951
234420,T4,ISS,b,0,72.5,2.496009607253122,180.96069652585135
237420,T4,LeoDepot,s,0,-73.25898100726322,1.4234297044973867,104.27900968694834
240240,T4,ISS,b,0,72.5,2.673989864197589,193.8642651543252
243240,T4,LeoDepot,s,0,-73.25898100726323,1.4262382445964399,104.48476047272304
246060,T4,ISS,b,0,41.374999999982435,2.931120631944516,121.27511614665288
249720,T4,LeoDepot,s,0,-42.13398100724565,1.4254083032502394,60.05812637671583
431940,T3,DSG,b,0,72.5,5.270511118827154,382.1120561149687
494100,T1,DSG,b,0,23.026041666669187,5.795318335262371,133.44324145936326
680100,T4,DSG,b,0,16.145833333340676,5.662061489197689,91.4187011277126
924660,T1,LeoDepot,s,0,-75.43759424095921,1.4175000000000002,106.9327898365597
939720,T1,GeoSSP,b,0,72.5,4.143960836805718,300.43716066841455
1112040,T4,LeoDepot,s,0,-68.5573859076307,1.4175000000000002,97.18009452406653
1542420,T4,DSG,b,0,72.5,5.101505625000275,369.8591578125199
