Time,Transporter,Origin,Destination,TOF
120,T1,LeoDepot,ISS,2759.539685182703
1380,T2,LeoDepot,GeoSSP,14980.97481323638
1440,T4,LeoDepot,GeoSSP,14980.974813236378
1560,T3,LeoDepot,DSG,430296.4025686069
3000,T1,ISS,LeoDepot,2759.5396851827036
16560,T4,GeoSSP,LeoDepot,14980.974813236386
63720,T1,LeoDepot,DSG,430296.40256860683
174120,T4,LeoDepot,GeoSSP,14980.974813236378
189240,T4,GeoSSP,LeoDepot,14980.974813236378
231600,T4,LeoDepot,ISS,2759.539685182703
234480,T4,ISS,LeoDepot,2759.539685182703
237420,T4,LeoDepot,ISS,2759.539685182703
240300,T4,ISS,LeoDepot,2759.539685182703
243240,T4,LeoDepot,ISS,2759.5396851827036
246120,T4,ISS,LeoDepot,2759.5396851827036
249720,T4,LeoDepot,DSG,430296.4025686069
494160,T1,DSG,LeoDepot,430296.40256860707
680160,T4,DSG,LeoDepot,430296.4025686072
924660,T1,LeoDepot,GeoSSP,14980.97481323639
1112040,T4,LeoDepot,DSG,430296.40256860707
