Time,x,y,resources,incoming,capacity,ports_filled,Buy_price,Sell_price
1338120,21385.93756998885,-21039.051172820007,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1338180,21538.74638936383,-20882.586141918968,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1338240,21690.4104999644,-20725.011274859025,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1338300,21840.921841376083,-20566.3349461906,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1338360,21990.272414449326,-20406.565589003672,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1338420,22138.454281725342,-20245.711694478818,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1338480,22285.45956785802,-20083.781811435932,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1338540,22431.280460032976,-19920.78454587927,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1338600,22575.90920838032,-19756.728560542815,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1338660,22719.33812638969,-19591.622574426434,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1338720,22861.559591319412,-19425.475362331574,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1338780,23002.5660445959,-19258.295754401614,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1338840,23142.349992222298,-19090.092635644494,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1338900,23280.90400517118,-18920.874945467076,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1338960,23418.220719783123,-18750.65167719565,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339020,23554.29283815842,-18579.431877597297,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339080,23689.113128539804,-18407.22464640563,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339140,23822.67442570323,-18234.039135829036,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339200,23954.96963133334,-18059.884550071103,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339260,24085.9917144043,-17884.770144836843,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339320,24215.733711553978,-17708.705226839924,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339380,24344.188727448894,-17531.69915331511,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339440,24471.34993515634,-17353.761331513215,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339500,24597.21057650501,-17174.901218204122,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339560,24721.76396244195,-16995.128319177413,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339620,24845.003473393434,-16814.452188729425,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339680,24966.922559612038,-16632.882429162273,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339740,25087.514741525138,-16450.428690273046,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339800,25206.773610082073,-16267.100668836769,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339860,25324.692827092582,-16082.908108094292,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339920,25441.266125564103,-15897.860797233823,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1339980,25556.487310034994,-15711.968570870418,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340040,25670.350256904236,-15525.241308522585,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340100,25782.84891475429,-15337.688934091508,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340160,25893.97730467835,-15149.321415324266,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340220,26003.729520591067,-14960.148763295778,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340280,26112.099729548285,-14770.181031867,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340340,26219.082172052887,-14579.428317157632,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340400,26324.67116236351,-14387.900757005063,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340460,26428.861088796828,-14195.608530425205,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340520,26531.64641402395,-14002.561857074934,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340580,26633.021675364675,-13808.770996709125,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340640,26732.98148507971,-13614.246248631798,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340700,26831.52053065729,-13418.997951148061,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340760,26928.63357509214,-13223.036481021283,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340820,27024.315457166358,-13026.372252916743,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340880,27118.561091724187,-12829.015718846966,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1340940,27211.36546994091,-12630.977367619156,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1341000,27302.72365958955,-12432.26772427656,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1341060,27392.63080530301,-12232.897349539233,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1341120,27481.08212883239,-12032.87683924209,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1341180,27568.072929299553,-11832.216823774848,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
1341240,27653.598583448802,-11630.927967513087,72.5,0.0,200.0,3,2.73538125,2.3913795415360855
