Time,x,y,resources,incoming,capacity,ports_filled,Buy_price,Sell_price
607200,-8703.212164855282,2292.1819324739563,0.0,0,200.0,0,1.875,2.25
607260,-8796.31089237171,1903.9208709365628,0.0,0,200.0,0,1.875,2.25
607320,-8872.097825761053,1511.9127515075108,0.0,0,200.0,0,1.875,2.25
607380,-8930.423810701335,1116.9290753237838,0.0,0,200.0,0,1.875,2.25
607440,-8971.17405731577,719.7471996399503,0.0,0,200.0,0,1.875,2.25
607500,-8994.26836608789,321.1488079312735,0.0,0,200.0,0,1.875,2.25
607560,-8999.661285700297,-78.08162851980218,0.0,0,200.0,0,1.875,2.25
607620,-8987.342202486003,-477.1583945180596,0.0,0,200.0,0,1.875,2.25
607680,-8957.3353613171,-875.2960773037091,0.0,0,200.0,0,1.875,2.25
607740,-8909.69981788899,-1271.7111123025986,0.0,0,200.0,0,1.875,2.25
607800,-8844.529322494383,-1665.6233252395511,0.0,0,200.0,0,1.875,2.25
607860,-8761.952135515756,-2056.257467579361,0.0,0,200.0,0,1.875,2.25
607920,-8662.13077499937,-2442.8447422736094,0.0,0,200.0,0,1.875,2.25
607980,-8545.261696807678,-2824.624316810392,0.0,0,200.0,0,1.875,2.25
608040,-8411.574907979564,-3200.8448205893446,0.0,0,200.0,0,1.875,2.25
608100,-8261.333514059377,-3570.7658236748484,0.0,0,200.0,0,1.875,2.25
608160,-8094.833201285431,-3933.6592940177284,0.0,0,200.0,0,1.875,2.25
608220,-7912.401654658428,-4288.811030274421,0.0,0,200.0,0,1.875,2.25
608280,-7714.397913031607,-4635.522067411457,0.0,0,200.0,0,1.875,2.25
608340,-7501.21166249647,-4973.110052318562,0.0,0,200.0,0,1.875,2.25
608400,-7273.262469451392,-5300.910586730815,0.0,0,200.0,0,1.875,2.25
608460,-7030.998954863683,-5618.278534813915,0.0,0,200.0,0,1.875,2.25
608520,-6774.897911350578,-5924.589292839003,0.0,0,200.0,0,1.875,2.25
608580,-6505.463364814381,-6219.2400184510425,0.0,0,200.0,0,1.875,2.25
608640,-6223.225582484233,-6501.650817104744,0.0,0,200.0,0,1.875,2.25
608700,-5928.740029309268,-6771.265883341967,0.0,0,200.0,0,1.875,2.25
608760,-5622.586274762696,-7027.55459465774,0.0,0,200.0,0,1.875,2.25
608820,-5305.366852205907,-7270.012555804821,0.0,0,200.0,0,1.875,2.25
608880,-4977.706073058031,-7498.162591481074,0.0,0,200.0,0,1.875,2.25
608940,-4640.248798104639,-7711.555685445928,0.0,0,200.0,0,1.875,2.25
609000,-4293.659168363718,-7909.771864217776,0.0,0,200.0,0,1.875,2.25
609060,-3938.619298007277,-8092.421023612749,0.0,0,200.0,0,1.875,2.25
609120,-3575.827931907888,-8259.143696499796,0.0,0,200.0,0,1.875,2.25
609180,-3205.999070459826,-8409.611760257167,0.0,0,200.0,0,1.875,2.25
609240,-2829.860564370636,-8543.529082543399,0.0,0,200.0,0,1.875,2.25
609300,-2448.1526821994717,-8660.632104106748,0.0,0,200.0,0,1.875,2.25
609360,-2061.6266534502493,-8760.690357490583,0.0,0,200.0,0,1.875,2.25
609420,-1671.0431900982976,-8843.506920609663,0.0,0,200.0,0,1.875,2.25
609480,-1277.1709894520238,-8908.918804307685,0.0,0,200.0,0,1.875,2.25
609540,-880.7852212994519,-8956.79727313203,0.0,0,200.0,0,1.875,2.25
609600,-482.66600231701517,-8987.04809869471,0.0,0,200.0,0,1.875,2.25
609660,-83.59686073959669,-8999.611745120974,0.0,0,200.0,0,1.875,2.25
609720,315.63680567789294,-8994.463486220086,0.0,0,200.0,0,1.875,2.25
609780,714.2492753839842,-8971.613454148499,0.0,0,200.0,0,1.875,2.25
609840,1111.4560493885413,-8931.106619468972,0.0,0,200.0,0,1.875,2.25
609900,1506.475395215137,-8873.02270264515,0.0,0,200.0,0,1.875,2.25
609960,1898.5298854086802,-8797.476017145767,0.0,0,200.0,0,1.875,2.25
610020,2286.8479275705236,-8704.615244467228,0.0,0,200.0,0,1.875,2.25
610080,2670.6652829096683,-8594.623141517368,0.0,0,200.0,0,1.875,2.25
610140,3049.2265703210023,-8467.716180936466,0.0,0,200.0,0,1.875,2.25
610200,3421.786753033684,-8324.14412506223,0.0,0,200.0,0,1.875,2.25
610260,3787.612604895671,-8164.1895343800215,0.0,0,200.0,0,1.875,2.25
610320,4145.984153420004,-7988.167211421843,0.0,0,200.0,0,1.875,2.25
610380,4496.196096741618,-7796.423581212752,0.0,0,200.0,0,1.875,2.25
610440,4837.55919170697,-7589.336009479105,0.0,0,200.0,0,1.875,2.25
610500,5169.401610353761,-7367.3120599657495,0.0,0,200.0,0,1.875,2.25
610560,5491.070262118863,-7130.788692319994,0.0,0,200.0,0,1.875,2.25
610620,5801.9320791686705,-6880.2314021229195,0.0,0,200.0,0,1.875,2.25
610680,6101.37526232547,-6616.133304757971,0.0,0,200.0,0,1.875,2.25
610740,6388.810485131052,-6339.014164925357,0.0,0,200.0,0,1.875,2.25
610800,6663.67205368682,-6049.4193737050555,0.0,0,200.0,0,1.875,2.25
610860,6925.419019980982,-5747.918875186953,0.0,0,200.0,0,1.875,2.25
610920,7173.536246514513,-5435.106044778452,0.0,0,200.0,0,1.875,2.25
610980,7407.535420130027,-5111.5965213975815,0.0,0,200.0,0,1.875,2.25
611040,7626.956013048434,-4778.026995849764,0.0,0,200.0,0,1.875,2.25
611100,7831.36618922184,-4435.0539577729805,0.0,0,200.0,0,1.875,2.25
611160,8020.363654219016,-4083.3524036173253,0.0,0,200.0,0,1.875,2.25
611220,8193.576446970997,-3723.6145082012595,0.0,0,200.0,0,1.875,2.25
611280,8350.663671817172,-3356.5482624621613,0.0,0,200.0,0,1.875,2.25
611340,8491.316169414764,-2982.8760800744244,0.0,0,200.0,0,1.875,2.25
611400,8615.257125186447,-2603.3333756875923,0.0,0,200.0,0,1.875,2.25
611460,8722.242614112225,-2218.667117575212,0.0,0,200.0,0,1.875,2.25
611520,8812.062080792059,-1829.6343575456667,0.0,0,200.0,0,1.875,2.25
611580,8884.53875383444,-1437.0007410084138,0.0,0,200.0,0,1.875,2.25
611640,8939.529993756043,-1041.5390001247395,0.0,0,200.0,0,1.875,2.25
611700,8976.927573706202,-644.0274330166447,0.0,0,200.0,0,1.875,2.25
611760,8996.65789246586,-245.24837201605737,0.0,0,200.0,0,1.875,2.25
611820,8998.6821193001,154.01335602281358,0.0,0,200.0,0,1.875,2.25
611880,8982.996270379952,552.9719743211502,0.0,0,200.0,0,1.875,2.25
611940,8949.63121662284,950.8423026426384,0.0,0,200.0,0,1.875,2.25
612000,8898.652622936332,1346.8413025865898,0.0,0,200.0,0,1.875,2.25
612060,8830.16081898471,1740.1896186657564,0.0,0,200.0,0,1.875,2.25
612120,8744.290601732602,2130.113112136457,0.0,0,200.0,0,1.875,2.25
612180,8641.21097015536,2515.8443845578818,0.0,0,200.0,0,1.875,2.25
612240,8521.12479263454,2896.624288097055,0.0,0,200.0,0,1.875,2.25
612300,8384.26840769986,3271.7034195799065,0.0,0,200.0,0,1.875,2.25
612360,8230.911158896972,3640.3435953753196,0.0,0,200.0,0,1.875,2.25
612420,8061.354864698417,4001.8193041975255,0.0,0,200.0,0,1.875,2.25
612480,7875.933224503181,4355.419134964132,0.0,0,200.0,0,1.875,2.25
612540,7675.011161891279,4700.447176906584,0.0,0,200.0,0,1.875,2.25
612600,7458.984106426994,5036.224389174323,0.0,0,200.0,0,1.875,2.25
612660,7228.277215424094,5362.089937237691,0.0,0,200.0,0,1.875,2.25
612720,6983.344537204963,5677.4024934589925,0.0,0,200.0,0,1.875,2.25
612780,6724.6681174983205,5981.54149927478,0.0,0,200.0,0,1.875,2.25
612840,6452.757050739463,6273.908386498564,0.0,0,200.0,0,1.875,2.25
612900,6168.146478133166,6553.927755349327,0.0,0,200.0,0,1.875,2.25
612960,5871.39653445634,6821.048506880659,0.0,0,200.0,0,1.875,2.25
613020,5563.091245671118,7074.74492758447,0.0,0,200.0,0,1.875,2.25
613080,5243.837379518315,7314.517724034259,0.0,0,200.0,0,1.875,2.25
613140,4914.26325135339,7539.895005531737,0.0,0,200.0,0,1.875,2.25
613200,4575.017487574596,7750.433212823103,0.0,0,200.0,0,1.875,2.25
613260,4226.767749080943,7945.717991054934,0.0,0,200.0,0,1.875,2.25
613320,3870.1994172589734,8125.365005259343,0.0,0,200.0,0,1.875,2.25
613380,3506.014245108571,8289.020696749445,0.0,0,200.0,0,1.875,2.25
613440,3134.928976138545,8436.36297895081,0.0,0,200.0,0,1.875,2.25
613500,2757.673933759926,8567.101871292642,0.0,0,200.0,0,1.875,2.25
613560,2374.9915839572504,8680.980069910143,0.0,0,200.0,0,1.875,2.25
613620,1987.6350740597638,8777.773454037891,0.0,0,200.0,0,1.875,2.25
613680,1596.3667504914533,8857.291527096204,0.0,0,200.0,0,1.875,2.25
613740,1201.9566584165793,8919.377791602557,0.0,0,200.0,0,1.875,2.25
613800,805.181026234083,8963.910057170224,0.0,0,200.0,0,1.875,2.25
613860,406.82073790009315,8990.800680988279,0.0,0,200.0,0,1.875,2.25
613920,7.659796093609599,8999.996740308781,0.0,0,200.0,0,1.875,2.25
613980,-391.51622076133634,8991.480136602966,0.0,0,200.0,0,1.875,2.25
614040,-789.9217045719082,8965.267631180404,0.0,0,200.0,0,1.875,2.25
614100,-1186.7725637116096,8921.410812201526,0.0,0,200.0,0,1.875,2.25
614160,-1581.287766170928,8859.995993148252,0.0,0,200.0,0,1.875,2.25
614220,-1972.6908766864353,8781.144042952663,0.0,0,200.0,0,1.875,2.25
614280,-2360.211584823689,8685.010148117788,0.0,0,200.0,0,1.875,2.25
614340,-2743.0872210032394,8571.783507299613,0.0,0,200.0,0,1.875,2.25
614400,-3120.564257494436,8441.68695894921,0.0,0,200.0,0,1.875,2.25
614460,-3491.8997914118117,8294.976542750625,0.0,0,200.0,0,1.875,2.25
614520,-3856.3630068032708,8131.940995715855,0.0,0,200.0,0,1.875,2.25
614580,-4213.236612952315,7952.901183927979,0.0,0,200.0,0,1.875,2.25
614640,-4561.8182560564055,7758.209471054222,0.0,0,200.0,0,1.875,2.25
614700,-4901.421901513572,7548.249024867161,0.0,0,200.0,0,1.875,2.25
614760,-5231.379184089011,7323.433063142256,0.0,0,200.0,0,1.875,2.25
614820,-5551.040723307608,7084.20404041453,0.0,0,200.0,0,1.875,2.25
614880,-5859.77740148298,6831.032777195141,0.0,0,200.0,0,1.875,2.25
614940,-6156.981601867902,6564.417533361595,0.0,0,200.0,0,1.875,2.25
615000,-6442.068404489258,6284.883027545239,0.0,0,200.0,0,1.875,2.25
615060,-6714.4767373140485,5992.979404445961,0.0,0,200.0,0,1.875,2.25
615120,-6973.670480480883,5689.281152106523,0.0,0,200.0,0,1.875,2.25
615180,-7219.139521424097,5374.385971276871,0.0,0,200.0,0,1.875,2.25
615240,-7450.400758811837,5048.913599096444,0.0,0,200.0,0,1.875,2.25
615300,-7666.999053327512,4713.504589402664,0.0,0,200.0,0,1.875,2.25
615360,-7868.508123416149,4368.819052075635,0.0,0,200.0,0,1.875,2.25
615420,-8054.531384239651,4015.5353538903714,0.0,0,200.0,0,1.875,2.25
615480,-8224.702728183565,3654.3487834434795,0.0,0,200.0,0,1.875,2.25
615540,-8378.68724538525,3285.9701827715267,0.0,0,200.0,0,1.875,2.25
615600,-8516.18188286112,2911.124548361519,0.0,0,200.0,0,1.875,2.25
