Time,Transporter,Node,TT,In_Network,Quantity,Price,Value
120,T1,LeoDepot,s,0,-60.0,1.4175000000000002,85.05000000000001
180,T4,LeoDepot,s,0,-50.0,1.445950134335289,72.29750671676445
240,T5,LeoDepot,s,0,-60.0,1.4702934305890818,88.21760583534491
1380,T2,LeoDepot,s,0,-80.0,1.494033517486138,119.52268139889105
1440,T3,LeoDepot,s,0,-90.0,1.5358125212633253,138.22312691369928
1500,T6,LeoDepot,s,0,-80.0,1.585544342481503,126.84354739852024
2940,T1,ISS,b,0,72.5,2.7401940887345693,198.66407143325628
3000,T4,LEO1,b,1,72.5,1.563075,113.3229375
3060,T5,LEO1,b,0,72.5,1.563075,113.3229375
7020,T1,LeoDepot,s,0,-73.25898100726323,1.5948591538030295,116.83775645771604
7440,T4,LeoDepot,s,0,-72.88160271585909,1.6357321822026036,119.21478305283539
13920,T3,MEO1a,b,0,72.5,2.96638125,215.062640625
13980,T6,MEO1a,b,0,72.5,2.96638125,215.062640625
16440,T2,GeoSSP,b,0,72.5,4.301994013888881,311.8945660069439
19920,T4,MEO1a,b,0,55.0,3.0665250000000004,168.65887500000002
22140,T5,LeoDepot,s,0,-72.88160271585909,1.5782521763047968,115.02554809888619
37200,T5,GeoSSP,b,0,31.33333333333374,4.882234722222243,152.9766879629656
53340,T5,LEO1,s,0,-81.08954760901574,1.2462891953679822,101.06102704239392
250200,T2,MEO1a,s,1,-99.24604968201167,1.8900000000000001,187.57503389900208
279420,T2,GeoSSP,b,0,39.59374999996399,4.772006670139294,188.9416390956558
330000,T2,MEO1a,s,1,-43.19363913229556,2.2556930853313326,97.43159312101595
437400,T1,DSG,b,0,72.5,5.330482100694465,386.45995230034873
483780,T5,DSG,b,0,22.125000000002103,5.9326237345679615,131.25930012732863
799380,T2,DSG,b,0,24.015625000010488,5.516615017361357,132.4849575263767
915240,T5,LeoDepot,s,0,-74.45065070828457,1.4175000000000002,105.5337973789934
1230780,T2,LeoDepot,s,0,-63.22524755147275,1.4175000000000002,89.62178840421264
1233600,T2,ISS,b,0,72.5,2.375,172.1875
1236600,T2,LeoDepot,s,0,-73.25898100726322,1.4175000000000002,103.84460557779562
1239420,T2,ISS,b,0,72.5,2.4145752554012336,175.05670601658943
1242420,T2,LeoDepot,s,0,-73.25898100726322,1.4202908646505332,104.04906147822287
1245240,T2,ISS,b,0,72.5,2.5333010216049394,183.66432406635812
1248240,T2,LeoDepot,s,0,-73.25898100726322,1.4230900205597241,104.25412478781065
1251060,T2,ISS,b,0,72.5,2.731177298611116,198.01035414930593
1254300,T2,LeoDepot,s,0,-73.25898100726322,1.4245742091146179,104.36285492896481
1345620,T5,DSG,b,0,50.80208333329348,5.592313906250572,284.1011970912776
1684680,T2,DSG,b,0,29.432291666639898,5.492285156250684,161.65053863512702
2118600,T2,LeoDepot,s,0,-81.84384424092994,1.4175000000000002,116.0136492115182
2548980,T2,DSG,b,0,72.5,5.100584184028116,369.7923533420384
